10-ЛЕТИЕ	["106723-N", "106720-N"]	['ПРОМЕЖУТОК ВРЕМЕНИ', 'ВРЕМЯ, ПРОДОЛЖИТЕЛЬНОСТЬ']
10-ЛЕТИЕ	["2192-N", "125912-N", "6950-N"]	['ЮБИЛЕЙ', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
20-ЛЕТИЕ	["2192-N", "125912-N", "6950-N"]	['ЮБИЛЕЙ', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
200-ЛЕТИЕ	["2192-N", "125912-N", "6950-N"]	['ЮБИЛЕЙ', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
30-ЛЕТИЕ	["2192-N", "125912-N", "6950-N"]	['ЮБИЛЕЙ', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
300-ЛЕТИЕ	["125912-N", "6950-N"]	['ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
400-ЛЕТИЕ	["2192-N", "125912-N", "6950-N"]	['ЮБИЛЕЙ', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
4G	["2569-N", "7500-N"]	['РАДИОТЕЛЕФОННАЯ СВЯЗЬ', 'СОТОВАЯ СВЯЗЬ']
500-ЛЕТИЕ	["125912-N", "6950-N"]	['ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
60-ЛЕТИЕ	["2192-N", "125912-N", "6950-N"]	['ЮБИЛЕЙ', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
600-ЛЕТИЕ	["2192-N", "125912-N", "6950-N"]	['ЮБИЛЕЙ', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
70-ЛЕТИЕ	["2192-N", "125912-N", "6950-N"]	['ЮБИЛЕЙ', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
700-ЛЕТИЕ	["125912-N", "6950-N"]	['ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
80-ЛЕТИЕ	["125912-N", "6950-N"]	['ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
90-ЛЕТИЕ	["2192-N", "125912-N", "6950-N"]	['ЮБИЛЕЙ', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
900-ЛЕТИЕ	["125912-N", "6950-N"]	['ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ПАМЯТНАЯ ДАТА']
ADSL	["4722-N", "6486-N"]	['ЛИНИЯ СВЯЗИ', 'КОММУНИКАЦИОННАЯ ИНФРАСТРУКТУРА']
