$	["1762-N", "1338-N", "566-N", "1315-N"]	['АМЕРИКАНСКИЙ ДОЛЛАР', 'ДЕНЕЖНАЯ ЕДИНИЦА', 'ДЕНЬГИ', 'СВОБОДНО КОНВЕРТИРУЕМАЯ ВАЛЮТА']
АБА	["145516-N", "123680-N", "242-N"]	['ГОРОДСКОЕ ПОСЕЛЕНИЕ', 'МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ', 'ГОРОД']
АБАЗА	["145516-N", "123680-N", "242-N"]	['ГОРОДСКОЕ ПОСЕЛЕНИЕ', 'МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ', 'ГОРОД']
АБАЙ	["145516-N", "123680-N", "242-N"]	['ГОРОДСКОЕ ПОСЕЛЕНИЕ', 'МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ', 'ГОРОД']
АБАКАНЕЦ	["4773-N", "589-N", "369-N"]	['ЖИТЕЛЬ ГОРОДА', 'ЖИТЕЛЬ', 'НАСЕЛЕНИЕ']
АБАКАНКА	["4773-N", "589-N", "369-N"]	['ЖИТЕЛЬ ГОРОДА', 'ЖИТЕЛЬ', 'НАСЕЛЕНИЕ']
АБАСТУМАНИ	["145516-N", "123680-N", "242-N"]	['ГОРОДСКОЕ ПОСЕЛЕНИЕ', 'МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ', 'ГОРОД']
АББАЙ	["100022-N", "152701-N"]	['РЕКА', 'ПРИРОДНЫЙ ВОДОТОК']
АББАТИСА	["7365-N", "110094-N", "106606-N"]	['ХРИСТИАНСКИЙ СВЯЩЕННОСЛУЖИТЕЛЬ', 'НАСТОЯТЕЛЬ МОНАСТЫРЯ', 'РУКОВОДИТЕЛЬ']
АБВЕР	["2602-N", "7840-N", "8329-N"]	['РАЗВЕДЫВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ', 'ВОЕННАЯ РАЗВЕДКА', 'КОНТРРАЗВЕДКА']
АБДОМИНОПЛАСТИКА	["144594-N", "113873-N", "5390-N"]	['КОСМЕТИЧЕСКАЯ ОПЕРАЦИЯ', 'ПЛАСТИЧЕСКАЯ ОПЕРАЦИЯ', 'ХИРУРГИЧЕСКАЯ ОПЕРАЦИЯ']
АБДУЛИНЕЦ	["4773-N", "589-N", "369-N"]	['ЖИТЕЛЬ ГОРОДА', 'ЖИТЕЛЬ', 'НАСЕЛЕНИЕ']
АБДУЛИНО	["136806-N", "134530-N"]	['ГОРОД ОРЕНБУРГСКОЙ ОБЛАСТИ', 'ГОРОД РОССИЙСКОЙ ФЕДЕРАЦИИ']
АБЕОКУТА	["145516-N", "123680-N", "242-N"]	['ГОРОДСКОЕ ПОСЕЛЕНИЕ', 'МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ', 'ГОРОД']
АБИНЧАНИН	["4773-N", "589-N", "369-N"]	['ЖИТЕЛЬ ГОРОДА', 'ЖИТЕЛЬ', 'НАСЕЛЕНИЕ']
АБИНЧАНКА	["4773-N", "589-N", "369-N"]	['ЖИТЕЛЬ ГОРОДА', 'ЖИТЕЛЬ', 'НАСЕЛЕНИЕ']
АБИССАЛЬ	["130865-N", "133569-N"]	['ДНО ВОДНОГО ОБЪЕКТА', 'МОРСКОЕ ДНО']
АБИССАЛЬ	["106610-N", "130607-N"]	['ПРОСТРАНСТВО', 'ГЛУБИНА, ГЛУБОКОЕ МЕСТО']
АБИССИНЕЦ	["106131-N", "134850-N"]	['ГРУППА НАЦИЙ', 'СЕМИТЫ']
АБИССИНЕЦ	["132681-N", "369-N"]	['НАСЕЛЕНИЕ ГОСУДАРСТВА', 'НАСЕЛЕНИЕ']
АБИССИНКА	["106131-N", "134850-N"]	['ГРУППА НАЦИЙ', 'СЕМИТЫ']
АБИССИНКА	["132681-N", "369-N"]	['НАСЕЛЕНИЕ ГОСУДАРСТВА', 'НАСЕЛЕНИЕ']
АБКАЙК	["145516-N", "123680-N", "242-N"]	['ГОРОДСКОЕ ПОСЕЛЕНИЕ', 'МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ', 'ГОРОД']
АБЛАКТИРОВАНИЕ	["123844-N", "123841-N"]	['ПЕРЕСАДКА ТКАНИ, ОРГАНА', 'ПРИВИВКА РАСТЕНИЙ']
АБЛАКТИРОВКА	["123844-N", "123841-N"]	['ПЕРЕСАДКА ТКАНИ, ОРГАНА', 'ПРИВИВКА РАСТЕНИЙ']
АБОВЯН	["242-N", "134142-N"]	['ГОРОД', 'ГОРОД АРМЕНИИ']
АБОЛИЦИОНИЗМ	["3490-N", "3142-N"]	['ОБЩЕСТВЕННАЯ ДЕЯТЕЛЬНОСТЬ', 'ОБЩЕСТВЕННОЕ ДВИЖЕНИЕ']
АБОМЕЙ	["145516-N", "123680-N", "242-N"]	['ГОРОДСКОЕ ПОСЕЛЕНИЕ', 'МУНИЦИПАЛЬНОЕ ОБРАЗОВАНИЕ', 'ГОРОД']
АБОНИРОВАНИЕ	["116303-N", "124889-N"]	['ПОЛУЧИТЬ В РАСПОРЯЖЕНИЕ', 'ЗАНЯТЬ (РАСПОЛОЖИТЬСЯ, ПОЛУЧИВ ЧТО-ЛИБО)']
АБРИКОТИН	["108358-N", "108336-N"]	['ЛИКЕР', 'КРЕПКИЙ АЛКОГОЛЬНЫЙ НАПИТОК']
АБРУКА	["7166-N", "107135-N", "3465-N"]	['ГЕОГРАФИЧЕСКИЙ ОБЪЕКТ', 'ТЕРРИТОРИЯ, УЧАСТОК', 'ОСТРОВ']
АБРУЦЦИ	["2052-N", "105110-N"]	['АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА', 'ОБЛАСТЬ ИТАЛИИ']
АБРУЦЦО	["2052-N", "105110-N"]	['АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА', 'ОБЛАСТЬ ИТАЛИИ']
АБСЕНТЕИЗМ	["118203-N"]	['РАВНОДУШНЫЙ, БЕЗРАЗЛИЧНЫЙ']
АБСЕНТЕИЗМ	["117765-N", "117017-N", "147309-N"]	['УКЛОНИТЬСЯ (ОТКАЗАТЬСЯ)', 'ОТКАЗАТЬСЯ, НЕ СОГЛАСИТЬСЯ', 'НЕУЧАСТИЕ, ОТКАЗ ОТ УЧАСТИЯ']
АБСЕНТЕИЗМ	["119563-N"]	['МИРОВОЗЗРЕНИЕ']
АБСОЛЮТИЗАЦИЯ	["117116-N"]	['ПЕРЕВРАТЬ']
АБСОЛЮТИЗАЦИЯ	["116115-N"]	['ПРЕУВЕЛИЧИТЬ']
АБСОЛЮТИЗИРОВАНИЕ	["117116-N"]	['ПЕРЕВРАТЬ']
АБСОЛЮТИЗИРОВАНИЕ	["116115-N"]	['ПРЕУВЕЛИЧИТЬ']
АБСОРБЕНТ	["820-N", "147134-N"]	['ВЕЩЕСТВО', 'ФИЗИЧЕСКАЯ СУЩНОСТЬ']
АБСТРАКЦИОНИЗМ	["108333-N", "108817-N"]	['СТИЛЬ В ИСКУССТВЕ', 'МОДЕРНИЗМ']
