АБЛАКТИРОВАТЬ	["123841-V", "123844-V"]	['ПРИВИВКА РАСТЕНИЙ', 'ПЕРЕСАДКА ТКАНИ, ОРГАНА']
АБЛАКТИРОВАТЬСЯ	["123841-V", "123844-V"]	['ПРИВИВКА РАСТЕНИЙ', 'ПЕРЕСАДКА ТКАНИ, ОРГАНА']
АБОНИРОВАТЬ	["106618-V", "124889-V", "116303-V"]	['РАЗМЕСТИТЬСЯ', 'ЗАНЯТЬ (РАСПОЛОЖИТЬСЯ, ПОЛУЧИВ ЧТО-ЛИБО)', 'ПОЛУЧИТЬ В РАСПОРЯЖЕНИЕ']
АБСОЛЮТИЗИРОВАТЬ	["116115-V"]	['ПРЕУВЕЛИЧИТЬ']
АБСОЛЮТИЗИРОВАТЬ	["117116-V"]	['ПЕРЕВРАТЬ']
АДСОРБИРОВАТЬ	["115222-V", "115221-V"]	['ПОГЛОТИТЬ (ВОБРАТЬ)', 'ВОБРАТЬ В СЕБЯ']
АЗОТИРОВАТЬ	["110751-V", "111435-V"]	['НАПОЛНИТЬ', 'НАСЫТИТЬ (НАПОЛНИТЬ В БОЛЬШОМ КОЛИЧЕСТВЕ)']
АКАТЬ	["107094-V", "106876-V"]	['ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ', 'ВЫСКАЗАТЬ']
АККОМОДИРОВАТЬСЯ	["106629-V", "106673-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ПРИСПОСОБИТЬСЯ']
АКТИРОВАТЬ	["106999-V", "106868-V"]	['УДОСТОВЕРЯТЬ', 'СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ']
АКТИРОВАТЬ	["107668-V", "107009-V"]	['СОЧИНИТЬ ПРОИЗВЕДЕНИЕ', 'ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ']
АЛЕТЬ	["110416-V", "106629-V"]	['ИЗМЕНЯТЬСЯ В ЦВЕТЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АЛЕТЬ	["106646-V", "111001-V"]	['ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ', 'ВИДНЕТЬСЯ']
АЛЕТЬСЯ	["106646-V", "111001-V"]	['ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ', 'ВИДНЕТЬСЯ']
АМЕРИКАНИЗИРОВАТЬ	["106629-V", "129365-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ']
АМЕРИКАНИЗИРОВАТЬСЯ	["106629-V", "129365-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ']
АННИГИЛИРОВАТЬ	["106951-V", "106629-V", "130670-V"]	['ПРЕВРАТИТЬСЯ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ПЕРЕЙТИ В ДРУГОЕ СОСТОЯНИЕ, ПОЛОЖЕНИЕ']
АННОТИРОВАТЬ	["107668-V", "107009-V"]	['СОЧИНИТЬ ПРОИЗВЕДЕНИЕ', 'ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ']
АННОТИРОВАТЬ	["106542-V", "106895-V", "106886-V"]	['СООБЩИТЬ, УВЕДОМИТЬ', 'ОБЪЯСНИТЬ, РАЗЪЯСНИТЬ', 'ИЗЛОЖИТЬ']
АНОДИРОВАТЬ	["146751-V", "107326-V", "107325-V"]	['ОБРАБОТКА ПОВЕРХНОСТИ', 'КЛАСТЬ НА ПОВЕРХНОСТЬ', 'ПОКРЫТЬ ПОВЕРХНОСТЬ']
АППРЕТИРОВАТЬ	["106534-V"]	['ОБРАБАТЫВАТЬ, ПОДВЕРГАТЬ ОБРАБОТКЕ']
АРХАИЗИРОВАТЬ	["117427-V", "112046-V"]	['СТИЛИЗОВАТЬ (ИМИТИРОВАТЬ)', 'ИМИТИРОВАТЬ']
АУКАТЬ	["107104-V", "107093-V"]	['КРИЧАТЬ, ИЗДАВАТЬ КРИК', 'ИЗДАТЬ ЗВУК']
АУКАТЬСЯ	["107104-V", "107093-V"]	['КРИЧАТЬ, ИЗДАВАТЬ КРИК', 'ИЗДАТЬ ЗВУК']
АУКНУТЬ	["107104-V", "107093-V"]	['КРИЧАТЬ, ИЗДАВАТЬ КРИК', 'ИЗДАТЬ ЗВУК']
БАГРОВЕТЬ	["110416-V", "106629-V"]	['ИЗМЕНЯТЬСЯ В ЦВЕТЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
БАГРОВЕТЬ	["106646-V", "111001-V"]	['ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ', 'ВИДНЕТЬСЯ']
БАГРЯНЕТЬ	["110416-V", "106629-V"]	['ИЗМЕНЯТЬСЯ В ЦВЕТЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
БЕРЕДИТЬ	["114664-V", "118175-V"]	['ВОЛНОВАТЬ, ВЫЗЫВАТЬ ЧУВСТВО ВОЛНЕНИЯ', 'ЗАДЕТЬ (ВЗВОЛНОВАТЬ)']
БИНТОВАТЬ	["111427-V", "111428-V"]	['НАЛОЖИТЬ СВЕРХУ', 'ПЕРЕВЯЗАТЬ, НАЛОЖИТЬ ПОВЯЗКУ']
БИНТОВАТЬ	["112000-V", "111999-V"]	['МОТАТЬ, НАКРУЧИВАТЬ', 'ЗАМОТАТЬ (ЗАКРУТИТЬ)']
БИСИРОВАТЬ	["110440-V", "110447-V"]	['ИСПОЛНИТЬ (ВОСПРОИЗВЕСТИ)', 'ВОСПРОИЗВЕСТИ (ВОССОЗДАТЬ, ПОВТОРИТЬ В КОПИИ)']
БИСИРОВАТЬ	["107104-V", "107093-V"]	['КРИЧАТЬ, ИЗДАВАТЬ КРИК', 'ИЗДАТЬ ЗВУК']
БИСИРОВАТЬ	["107374-V", "107344-V"]	['ТРЕБОВАТЬ, ОБРАТИТЬСЯ С ТРЕБОВАНИЕМ', 'ПРОСИТЬ, ОБРАЩАТЬСЯ С ПРОСЬБОЙ']
БИЧЕВАТЬ	["120000-V", "112963-V"]	['КРИТИКОВАТЬ (ОСУЖДАТЬ)', 'ОСУДИТЬ, ВЫРАЗИТЬ НЕОДОБРЕНИЕ']
БИЧЕВАТЬ	["116273-V", "106875-V"]	['ИЗОБЛИЧИТЬ (ДОКАЗАТЬ ВИНОВНОСТЬ)', 'ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО']
БЛАНШИРОВАТЬ	["110780-V"]	['ОБЛИТЬ (ОБДАТЬ)']
БЛАНШИРОВАТЬ	["109109-V", "106534-V"]	['ПРИГОТОВЛЕНИЕ ПИЩИ', 'ОБРАБАТЫВАТЬ, ПОДВЕРГАТЬ ОБРАБОТКЕ']
БЛОКИРОВАТЬСЯ	["111485-V", "111484-V"]	['ОБЪЕДИНИТЬСЯ (СОЕДИНИТЬСЯ)', 'СОЕДИНИТЬСЯ В ОДНО ЦЕЛОЕ']
БОДРИТЬСЯ	["115900-V", "113119-V"]	['ПРИТВОРИТЬСЯ, ПРИКИНУТЬСЯ', 'ОБМАНУТЬ, ВВЕСТИ В ЗАБЛУЖДЕНИЕ']
БОРТНИЧАТЬ	["4606-V"]	['ПЧЕЛОВОДСТВО']
БОРТНИЧАТЬ	["6085-V"]	['ЛЕСОПОЛЬЗОВАНИЕ']
БРОНЗИРОВАТЬ	["146751-V", "107326-V", "107325-V"]	['ОБРАБОТКА ПОВЕРХНОСТИ', 'КЛАСТЬ НА ПОВЕРХНОСТЬ', 'ПОКРЫТЬ ПОВЕРХНОСТЬ']
БРОШЮРОВАТЬ	["107707-V", "110790-V"]	['СКРЕПИТЬ (ПРОЧНО СОЕДИНИТЬ)', 'ПРИКРЕПИТЬ, ПРИДЕЛАТЬ']
БРОШЮРОВАТЬ	["114108-V"]	['ПЕЧАТАТЬ (ВОСПРОИЗВОДИТЬ)']
БРЫКАТЬ	["107404-V", "111963-V"]	['УДАРИТЬ, НАНЕСТИ УДАР', 'КАСАТЬСЯ, ДОТРАГИВАТЬСЯ']
БРЫКНУТЬ	["107404-V", "111963-V"]	['УДАРИТЬ, НАНЕСТИ УДАР', 'КАСАТЬСЯ, ДОТРАГИВАТЬСЯ']
