АБЛАКТИРОВАТЬ	["123841-V", "123844-V"]	['ПРИВИВКА РАСТЕНИЙ', 'ПЕРЕСАДКА ТКАНИ, ОРГАНА']
АБЛАКТИРОВАТЬСЯ	["123841-V", "123844-V"]	['ПРИВИВКА РАСТЕНИЙ', 'ПЕРЕСАДКА ТКАНИ, ОРГАНА']
АБОНИРОВАТЬ	["116303-V", "124889-V", "106618-V"]	['ПОЛУЧИТЬ В РАСПОРЯЖЕНИЕ', 'ЗАНЯТЬ (РАСПОЛОЖИТЬСЯ, ПОЛУЧИВ ЧТО-ЛИБО)', 'РАЗМЕСТИТЬСЯ']
АБСОЛЮТИЗИРОВАТЬ	["117116-V"]	['ПЕРЕВРАТЬ']
АБСОЛЮТИЗИРОВАТЬ	["116115-V"]	['ПРЕУВЕЛИЧИТЬ']
АВТОРИЗИРОВАТЬ	["106877-V", "112454-V", "106878-V", "107138-V"]	['ВЫСКАЗАТЬ МНЕНИЕ', 'АВТОРИЗОВАТЬ', 'ОДОБРИТЬ', 'СОГЛАСИТЬСЯ, ДАТЬ СОГЛАСИЕ']
АДСОРБИРОВАТЬ	["115222-V", "115221-V"]	['ПОГЛОТИТЬ (ВОБРАТЬ)', 'ВОБРАТЬ В СЕБЯ']
АЗОТИРОВАТЬ	["111435-V", "110751-V"]	['НАСЫТИТЬ (НАПОЛНИТЬ В БОЛЬШОМ КОЛИЧЕСТВЕ)', 'НАПОЛНИТЬ']
АКАТЬ	["106876-V", "107094-V"]	['ВЫСКАЗАТЬ', 'ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ']
АККОМОДИРОВАТЬСЯ	["106673-V", "106629-V"]	['ПРИСПОСОБИТЬСЯ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АКТИВИРОВАТЬ	["111668-V", "113296-V"]	['ПРИСОЕДИНИТЬ', 'ВКЛЮЧЕНИЕ УСТРОЙСТВА']
АКТИВИРОВАТЬ	["121499-V", "110474-V", "106473-V"]	['АКТИВИЗИРОВАТЬ', 'ВЫЗВАТЬ, ПОРОДИТЬ', 'ОБУСЛАВЛИВАТЬ, СПОСОБСТВОВАТЬ']
АКТИРОВАТЬ	["107668-V", "107009-V"]	['СОЧИНИТЬ ПРОИЗВЕДЕНИЕ', 'ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ']
АКТИРОВАТЬ	["106868-V", "106999-V"]	['СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ', 'УДОСТОВЕРЯТЬ']
АЛЕТЬ	["110416-V", "106629-V"]	['ИЗМЕНЯТЬСЯ В ЦВЕТЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АЛЕТЬ	["111001-V", "106646-V"]	['ВИДНЕТЬСЯ', 'ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ']
АЛЕТЬСЯ	["111001-V", "106646-V"]	['ВИДНЕТЬСЯ', 'ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ']
АМЕРИКАНИЗИРОВАТЬ	["129365-V", "106629-V"]	['ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АМЕРИКАНИЗИРОВАТЬСЯ	["129365-V", "106629-V"]	['ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АННИГИЛИРОВАТЬ	["106951-V", "130670-V", "106629-V"]	['ПРЕВРАТИТЬСЯ', 'ПЕРЕЙТИ В ДРУГОЕ СОСТОЯНИЕ, ПОЛОЖЕНИЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АННОТИРОВАТЬ	["106542-V", "106886-V", "106895-V"]	['СООБЩИТЬ, УВЕДОМИТЬ', 'ИЗЛОЖИТЬ', 'ОБЪЯСНИТЬ, РАЗЪЯСНИТЬ']
АННОТИРОВАТЬ	["107668-V", "107009-V"]	['СОЧИНИТЬ ПРОИЗВЕДЕНИЕ', 'ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ']
АНОДИРОВАТЬ	["107326-V", "146751-V", "107325-V"]	['КЛАСТЬ НА ПОВЕРХНОСТЬ', 'ОБРАБОТКА ПОВЕРХНОСТИ', 'ПОКРЫТЬ ПОВЕРХНОСТЬ']
АППРЕТИРОВАТЬ	["106534-V"]	['ОБРАБАТЫВАТЬ, ПОДВЕРГАТЬ ОБРАБОТКЕ']
АРХАИЗИРОВАТЬ	["112046-V", "117427-V"]	['ИМИТИРОВАТЬ', 'СТИЛИЗОВАТЬ (ИМИТИРОВАТЬ)']
АУКАТЬ	["107104-V", "107093-V"]	['КРИЧАТЬ, ИЗДАВАТЬ КРИК', 'ИЗДАТЬ ЗВУК']
АУКАТЬСЯ	["107104-V", "107093-V"]	['КРИЧАТЬ, ИЗДАВАТЬ КРИК', 'ИЗДАТЬ ЗВУК']
АУКНУТЬ	["107104-V", "107093-V"]	['КРИЧАТЬ, ИЗДАВАТЬ КРИК', 'ИЗДАТЬ ЗВУК']
БАГРОВЕТЬ	["110416-V", "106629-V"]	['ИЗМЕНЯТЬСЯ В ЦВЕТЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
БАГРОВЕТЬ	["111001-V", "106646-V"]	['ВИДНЕТЬСЯ', 'ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ']
БАГРЯНЕТЬ	["110416-V", "106629-V"]	['ИЗМЕНЯТЬСЯ В ЦВЕТЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
БЕРЕДИТЬ	["118175-V", "114664-V"]	['ЗАДЕТЬ (ВЗВОЛНОВАТЬ)', 'ВОЛНОВАТЬ, ВЫЗЫВАТЬ ЧУВСТВО ВОЛНЕНИЯ']
БИНТОВАТЬ	["111427-V", "111428-V"]	['НАЛОЖИТЬ СВЕРХУ', 'ПЕРЕВЯЗАТЬ, НАЛОЖИТЬ ПОВЯЗКУ']
БИНТОВАТЬ	["111999-V", "112000-V"]	['ЗАМОТАТЬ (ЗАКРУТИТЬ)', 'МОТАТЬ, НАКРУЧИВАТЬ']
БИСИРОВАТЬ	["110440-V", "110447-V"]	['ИСПОЛНИТЬ (ВОСПРОИЗВЕСТИ)', 'ВОСПРОИЗВЕСТИ (ВОССОЗДАТЬ, ПОВТОРИТЬ В КОПИИ)']
БИСИРОВАТЬ	["107344-V", "107374-V"]	['ПРОСИТЬ, ОБРАЩАТЬСЯ С ПРОСЬБОЙ', 'ТРЕБОВАТЬ, ОБРАТИТЬСЯ С ТРЕБОВАНИЕМ']
БИСИРОВАТЬ	["107104-V", "107093-V"]	['КРИЧАТЬ, ИЗДАВАТЬ КРИК', 'ИЗДАТЬ ЗВУК']
БИЧЕВАТЬ	["112963-V", "120000-V"]	['ОСУДИТЬ, ВЫРАЗИТЬ НЕОДОБРЕНИЕ', 'КРИТИКОВАТЬ (ОСУЖДАТЬ)']
БИЧЕВАТЬ	["116273-V", "106875-V"]	['ИЗОБЛИЧИТЬ (ДОКАЗАТЬ ВИНОВНОСТЬ)', 'ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО']
БЛАНШИРОВАТЬ	["109109-V", "106534-V"]	['ПРИГОТОВЛЕНИЕ ПИЩИ', 'ОБРАБАТЫВАТЬ, ПОДВЕРГАТЬ ОБРАБОТКЕ']
БЛАНШИРОВАТЬ	["110780-V"]	['ОБЛИТЬ (ОБДАТЬ)']
БЛОКИРОВАТЬСЯ	["111484-V", "111485-V"]	['СОЕДИНИТЬСЯ В ОДНО ЦЕЛОЕ', 'ОБЪЕДИНИТЬСЯ (СОЕДИНИТЬСЯ)']
БОДРИТЬСЯ	["113119-V", "115900-V"]	['ОБМАНУТЬ, ВВЕСТИ В ЗАБЛУЖДЕНИЕ', 'ПРИТВОРИТЬСЯ, ПРИКИНУТЬСЯ']
БОРТНИЧАТЬ	["6085-V"]	['ЛЕСОПОЛЬЗОВАНИЕ']
БОРТНИЧАТЬ	["4606-V"]	['ПЧЕЛОВОДСТВО']
БРЕНДИРОВАТЬ	["106501-V"]	['ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ']
БРОНЗИРОВАТЬ	["107326-V", "146751-V", "107325-V"]	['КЛАСТЬ НА ПОВЕРХНОСТЬ', 'ОБРАБОТКА ПОВЕРХНОСТИ', 'ПОКРЫТЬ ПОВЕРХНОСТЬ']
