АБЛАКТИРОВАТЬ	["123841-V", "123844-V"]	['ПРИВИВКА РАСТЕНИЙ', 'ПЕРЕСАДКА ТКАНИ, ОРГАНА']
АБЛАКТИРОВАТЬСЯ	["123841-V", "123844-V"]	['ПРИВИВКА РАСТЕНИЙ', 'ПЕРЕСАДКА ТКАНИ, ОРГАНА']
АБОНИРОВАТЬ	["106618-V", "116303-V", "124889-V"]	['РАЗМЕСТИТЬСЯ', 'ПОЛУЧИТЬ В РАСПОРЯЖЕНИЕ', 'ЗАНЯТЬ (РАСПОЛОЖИТЬСЯ, ПОЛУЧИВ ЧТО-ЛИБО)']
АБСОЛЮТИЗИРОВАТЬ	["117116-V"]	['ПЕРЕВРАТЬ']
АБСОЛЮТИЗИРОВАТЬ	["116115-V"]	['ПРЕУВЕЛИЧИТЬ']
АВТОРИЗИРОВАТЬ	["112454-V", "107138-V", "106877-V", "106878-V"]	['АВТОРИЗОВАТЬ', 'СОГЛАСИТЬСЯ, ДАТЬ СОГЛАСИЕ', 'ВЫСКАЗАТЬ МНЕНИЕ', 'ОДОБРИТЬ']
АДСОРБИРОВАТЬ	["115222-V", "115221-V"]	['ПОГЛОТИТЬ (ВОБРАТЬ)', 'ВОБРАТЬ В СЕБЯ']
АЗОТИРОВАТЬ	["110751-V", "111435-V"]	['НАПОЛНИТЬ', 'НАСЫТИТЬ (НАПОЛНИТЬ В БОЛЬШОМ КОЛИЧЕСТВЕ)']
АКАТЬ	["107094-V", "106876-V"]	['ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ', 'ВЫСКАЗАТЬ']
АККОМОДИРОВАТЬСЯ	["106629-V", "106673-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ПРИСПОСОБИТЬСЯ']
АКТИВИРОВАТЬ	["106473-V", "110474-V", "121499-V"]	['ОБУСЛАВЛИВАТЬ, СПОСОБСТВОВАТЬ', 'ВЫЗВАТЬ, ПОРОДИТЬ', 'АКТИВИЗИРОВАТЬ']
АКТИВИРОВАТЬ	["113296-V", "111668-V"]	['ВКЛЮЧЕНИЕ УСТРОЙСТВА', 'ПРИСОЕДИНИТЬ']
АКТИРОВАТЬ	["107009-V", "107668-V"]	['ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ', 'СОЧИНИТЬ ПРОИЗВЕДЕНИЕ']
АКТИРОВАТЬ	["106868-V", "106999-V"]	['СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ', 'УДОСТОВЕРЯТЬ']
АЛЕТЬ	["110416-V", "106629-V"]	['ИЗМЕНЯТЬСЯ В ЦВЕТЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АЛЕТЬ	["106646-V", "111001-V"]	['ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ', 'ВИДНЕТЬСЯ']
АЛЕТЬСЯ	["106646-V", "111001-V"]	['ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ', 'ВИДНЕТЬСЯ']
АМЕРИКАНИЗИРОВАТЬ	["129365-V", "106629-V"]	['ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АМЕРИКАНИЗИРОВАТЬСЯ	["129365-V", "106629-V"]	['ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АННИГИЛИРОВАТЬ	["106629-V", "130670-V", "106951-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ПЕРЕЙТИ В ДРУГОЕ СОСТОЯНИЕ, ПОЛОЖЕНИЕ', 'ПРЕВРАТИТЬСЯ']
АННОТИРОВАТЬ	["106542-V", "106895-V", "106886-V"]	['СООБЩИТЬ, УВЕДОМИТЬ', 'ОБЪЯСНИТЬ, РАЗЪЯСНИТЬ', 'ИЗЛОЖИТЬ']
АННОТИРОВАТЬ	["107009-V", "107668-V"]	['ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ', 'СОЧИНИТЬ ПРОИЗВЕДЕНИЕ']
АНОДИРОВАТЬ	["146751-V", "107326-V", "107325-V"]	['ОБРАБОТКА ПОВЕРХНОСТИ', 'КЛАСТЬ НА ПОВЕРХНОСТЬ', 'ПОКРЫТЬ ПОВЕРХНОСТЬ']
АППРЕТИРОВАТЬ	["106534-V"]	['ОБРАБАТЫВАТЬ, ПОДВЕРГАТЬ ОБРАБОТКЕ']
АРХАИЗИРОВАТЬ	["117427-V", "112046-V"]	['СТИЛИЗОВАТЬ (ИМИТИРОВАТЬ)', 'ИМИТИРОВАТЬ']
АУКАТЬ	["107093-V", "107104-V"]	['ИЗДАТЬ ЗВУК', 'КРИЧАТЬ, ИЗДАВАТЬ КРИК']
АУКАТЬСЯ	["107093-V", "107104-V"]	['ИЗДАТЬ ЗВУК', 'КРИЧАТЬ, ИЗДАВАТЬ КРИК']
АУКНУТЬ	["107093-V", "107104-V"]	['ИЗДАТЬ ЗВУК', 'КРИЧАТЬ, ИЗДАВАТЬ КРИК']
БАГРОВЕТЬ	["110416-V", "106629-V"]	['ИЗМЕНЯТЬСЯ В ЦВЕТЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
БАГРОВЕТЬ	["106646-V", "111001-V"]	['ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ', 'ВИДНЕТЬСЯ']
БАГРЯНЕТЬ	["110416-V", "106629-V"]	['ИЗМЕНЯТЬСЯ В ЦВЕТЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
БЕРЕДИТЬ	["114664-V", "118175-V"]	['ВОЛНОВАТЬ, ВЫЗЫВАТЬ ЧУВСТВО ВОЛНЕНИЯ', 'ЗАДЕТЬ (ВЗВОЛНОВАТЬ)']
БИНТОВАТЬ	["111427-V", "111428-V"]	['НАЛОЖИТЬ СВЕРХУ', 'ПЕРЕВЯЗАТЬ, НАЛОЖИТЬ ПОВЯЗКУ']
БИНТОВАТЬ	["112000-V", "111999-V"]	['МОТАТЬ, НАКРУЧИВАТЬ', 'ЗАМОТАТЬ (ЗАКРУТИТЬ)']
БИСИРОВАТЬ	["110440-V", "110447-V"]	['ИСПОЛНИТЬ (ВОСПРОИЗВЕСТИ)', 'ВОСПРОИЗВЕСТИ (ВОССОЗДАТЬ, ПОВТОРИТЬ В КОПИИ)']
БИСИРОВАТЬ	["107093-V", "107104-V"]	['ИЗДАТЬ ЗВУК', 'КРИЧАТЬ, ИЗДАВАТЬ КРИК']
БИСИРОВАТЬ	["107374-V", "107344-V"]	['ТРЕБОВАТЬ, ОБРАТИТЬСЯ С ТРЕБОВАНИЕМ', 'ПРОСИТЬ, ОБРАЩАТЬСЯ С ПРОСЬБОЙ']
БИЧЕВАТЬ	["112963-V", "120000-V"]	['ОСУДИТЬ, ВЫРАЗИТЬ НЕОДОБРЕНИЕ', 'КРИТИКОВАТЬ (ОСУЖДАТЬ)']
БИЧЕВАТЬ	["106875-V", "116273-V"]	['ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО', 'ИЗОБЛИЧИТЬ (ДОКАЗАТЬ ВИНОВНОСТЬ)']
БЛАНШИРОВАТЬ	["106534-V", "109109-V"]	['ОБРАБАТЫВАТЬ, ПОДВЕРГАТЬ ОБРАБОТКЕ', 'ПРИГОТОВЛЕНИЕ ПИЩИ']
БЛАНШИРОВАТЬ	["110780-V"]	['ОБЛИТЬ (ОБДАТЬ)']
БЛОКИРОВАТЬСЯ	["111484-V", "111485-V"]	['СОЕДИНИТЬСЯ В ОДНО ЦЕЛОЕ', 'ОБЪЕДИНИТЬСЯ (СОЕДИНИТЬСЯ)']
БОДРИТЬСЯ	["113119-V", "115900-V"]	['ОБМАНУТЬ, ВВЕСТИ В ЗАБЛУЖДЕНИЕ', 'ПРИТВОРИТЬСЯ, ПРИКИНУТЬСЯ']
БОРТНИЧАТЬ	["4606-V"]	['ПЧЕЛОВОДСТВО']
БОРТНИЧАТЬ	["6085-V"]	['ЛЕСОПОЛЬЗОВАНИЕ']
БРЕНДИРОВАТЬ	["106501-V"]	['ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ']
БРОНЗИРОВАТЬ	["146751-V", "107326-V", "107325-V"]	['ОБРАБОТКА ПОВЕРХНОСТИ', 'КЛАСТЬ НА ПОВЕРХНОСТЬ', 'ПОКРЫТЬ ПОВЕРХНОСТЬ']
