АБЛАКТИРОВАТЬ	["123844-V", "123841-V"]	['ПЕРЕСАДКА ТКАНИ, ОРГАНА', 'ПРИВИВКА РАСТЕНИЙ']
АБЛАКТИРОВАТЬСЯ	["123844-V", "123841-V"]	['ПЕРЕСАДКА ТКАНИ, ОРГАНА', 'ПРИВИВКА РАСТЕНИЙ']
АБОНИРОВАТЬ	["124889-V", "106618-V", "116303-V"]	['ЗАНЯТЬ (РАСПОЛОЖИТЬСЯ, ПОЛУЧИВ ЧТО-ЛИБО)', 'РАЗМЕСТИТЬСЯ', 'ПОЛУЧИТЬ В РАСПОРЯЖЕНИЕ']
АБСОЛЮТИЗИРОВАТЬ	["116115-V"]	['ПРЕУВЕЛИЧИТЬ']
АБСОЛЮТИЗИРОВАТЬ	["117116-V"]	['ПЕРЕВРАТЬ']
АДСОРБИРОВАТЬ	["115221-V", "115222-V"]	['ВОБРАТЬ В СЕБЯ', 'ПОГЛОТИТЬ (ВОБРАТЬ)']
АЗОТИРОВАТЬ	["111435-V", "110751-V"]	['НАСЫТИТЬ (НАПОЛНИТЬ В БОЛЬШОМ КОЛИЧЕСТВЕ)', 'НАПОЛНИТЬ']
АКАТЬ	["106876-V", "107094-V"]	['ВЫСКАЗАТЬ', 'ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ']
АККОМОДИРОВАТЬСЯ	["106673-V", "106629-V"]	['ПРИСПОСОБИТЬСЯ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АКТИРОВАТЬ	["107009-V", "107668-V"]	['ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ', 'СОЧИНИТЬ ПРОИЗВЕДЕНИЕ']
АКТИРОВАТЬ	["106868-V", "106999-V"]	['СВИДЕТЕЛЬСТВОВАТЬ, СЛУЖИТЬ СВИДЕТЕЛЬСТВОМ', 'УДОСТОВЕРЯТЬ']
АЛЕТЬ	["106629-V", "110416-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ИЗМЕНЯТЬСЯ В ЦВЕТЕ']
АЛЕТЬ	["106646-V", "111001-V"]	['ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ', 'ВИДНЕТЬСЯ']
АЛЕТЬСЯ	["106646-V", "111001-V"]	['ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ', 'ВИДНЕТЬСЯ']
АМЕРИКАНИЗИРОВАТЬ	["106629-V", "129365-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ']
АМЕРИКАНИЗИРОВАТЬСЯ	["106629-V", "129365-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ПРИБЛИЗИТЬСЯ, УПОДОБИТЬСЯ']
АННИГИЛИРОВАТЬ	["106951-V", "130670-V", "106629-V"]	['ПРЕВРАТИТЬСЯ', 'ПЕРЕЙТИ В ДРУГОЕ СОСТОЯНИЕ, ПОЛОЖЕНИЕ', 'ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ']
АННОТИРОВАТЬ	["106542-V", "106886-V", "106895-V"]	['СООБЩИТЬ, УВЕДОМИТЬ', 'ИЗЛОЖИТЬ', 'ОБЪЯСНИТЬ, РАЗЪЯСНИТЬ']
АННОТИРОВАТЬ	["107009-V", "107668-V"]	['ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ', 'СОЧИНИТЬ ПРОИЗВЕДЕНИЕ']
АНОДИРОВАТЬ	["107325-V", "146751-V", "107326-V"]	['ПОКРЫТЬ ПОВЕРХНОСТЬ', 'ОБРАБОТКА ПОВЕРХНОСТИ', 'КЛАСТЬ НА ПОВЕРХНОСТЬ']
АППРЕТИРОВАТЬ	["106534-V"]	['ОБРАБАТЫВАТЬ, ПОДВЕРГАТЬ ОБРАБОТКЕ']
АРХАИЗИРОВАТЬ	["117427-V", "112046-V"]	['СТИЛИЗОВАТЬ (ИМИТИРОВАТЬ)', 'ИМИТИРОВАТЬ']
АУКАТЬ	["107093-V", "107104-V"]	['ИЗДАТЬ ЗВУК', 'КРИЧАТЬ, ИЗДАВАТЬ КРИК']
АУКАТЬСЯ	["107093-V", "107104-V"]	['ИЗДАТЬ ЗВУК', 'КРИЧАТЬ, ИЗДАВАТЬ КРИК']
АУКНУТЬ	["107093-V", "107104-V"]	['ИЗДАТЬ ЗВУК', 'КРИЧАТЬ, ИЗДАВАТЬ КРИК']
БАГРОВЕТЬ	["106629-V", "110416-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ИЗМЕНЯТЬСЯ В ЦВЕТЕ']
БАГРОВЕТЬ	["106646-V", "111001-V"]	['ОТНОШЕНИЕ МЕЖДУ СУЩНОСТЯМИ', 'ВИДНЕТЬСЯ']
БАГРЯНЕТЬ	["106629-V", "110416-V"]	['ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ', 'ИЗМЕНЯТЬСЯ В ЦВЕТЕ']
